trial,frame_idx,gamma,selected_indices,mIoU,mAP,diversity,avg_similarity_to_current,avg_quality,quality_std,selected_similarity_std,diversity_bin
0,0,-3.0,[238 266 193 289 223 211 263 196 262 226],0.0,0.0,-3.554289156540092,-0.23887760450466988,2.053722840813726,0.5345575463987835,0.025863746629001323,"(-3.886, -2.71]"
0,0,-2.5,[238 193 266 289 223 211 444 263 196 262],0.0,0.0,-3.0687585821527112,-0.23071579929510255,1.7889561101933797,0.4680064590812596,0.040014500628566596,"(-3.886, -2.71]"
0,0,-2.0,[238 193 289 266 211 444 223 263 196 262],0.0,0.0,-3.0687585821527117,-0.23071579929510255,1.591300047899098,0.4000329200825121,0.040014500628566596,"(-3.886, -2.71]"
0,0,-1.5,[238 193 289 266 444 211 214 262 196 256],0.010183382032857083,0.009165043829571375,-2.8211655784338046,-0.2229470305462296,1.39978279560694,0.32643065387782116,0.041245674013872316,"(-3.886, -2.71]"
0,0,-1.0,[238 193 289 444 266 331 211 214 262 256],0.0,0.0,-2.347009522159908,-0.20566100568893533,1.2310864776143433,0.24132286795544336,0.06774993140630735,"(-2.71, -2.195]"
0,0,-0.8,[238 193 444 289 331 266 268 214 162 211],0.0,0.0,-2.1968715988573155,-0.19893863518735364,1.1743181986945188,0.2023046935168186,0.06982387090666119,"(-2.71, -2.195]"
0,0,-0.6000000000000001,[238 193 444 262 331 214 266 256 447 278],0.0638264847991207,0.05744383631920864,-1.8983393326541025,-0.1788592133788214,1.1144075733847536,0.15949048523278198,0.07512052149508493,"(-2.195, -1.743]"
0,0,-0.4,[238 193 444 331 262 278 447 355 214 198],0.06004644979085094,0.05404180481176585,-1.4851880316352495,-0.13353296684363342,1.0556282594125503,0.1121126328503892,0.09529842491807068,"(-1.493, -0.943]"
0,0,-0.19999999999999996,[238 193 489 331 295 378 250 403 135 302],0.022917755225339512,0.020625979702805563,-1.389338813537042,-0.09595063277422891,1.0195718516208738,0.05928799282074426,0.09799832177496443,"(-1.493, -0.943]"
0,0,0.0,[116 338  23 479 230 246 355  60 137 121],0.2686193703917916,0.24175743335261246,-0.9431747774991455,0.10876226038675788,1.0,0.0,0.3088611555570368,"(-1.493, -0.943]"
0,0,0.19999999999999996,[ 16 390 454 200 134   4  64 364  57 459],0.449956083931665,0.4049604755384985,-1.4617577444459786,0.34390995595838053,1.0731722781277597,0.0669220839347524,0.30221164221003616,"(-1.493, -0.943]"
0,0,0.40000000000000013,[ 16  63  76 327 485  19  27  92  72 104],0.45752659273547214,0.4117739334619249,-2.8788842961392582,0.5488307459122594,1.2515929334899556,0.14282726640871576,0.2515057575917655,"(-3.886, -2.71]"
