repeat,lambda,selected_indices,mIoU,mAP,avg_quality,diversity,coverage,combined_score,performance
0,0.0,"[130 491  25 279 394 139   7 391 357  69 185  76 249 172   5 431 443 232
  11 277]",0.8330889960630775,0.7497800964567698,0.44693613177589686,-1.5311102604500542,0.39495248466761573,-1.5311102604500542,0.8330889960630775
0,0.1,"[130 427 394 286 471  30 142 306  43  47 468 158 374 257  57  97 253 248
 139 211]",0.8453630902572516,0.7608267812315265,0.6335891756382727,-1.6415964913470007,0.406670554415622,-1.4140779246484736,0.8453630902572516
0,0.2,"[130 427 394 471 286  30 142 375 108  50  26 494 158  55 248 139 279 342
 178 484]",0.8602673403603822,0.774240606324344,0.7474058820967477,-1.8942063395602644,0.42191476447979637,-1.365883895228862,0.8602673403603822
0,0.30000000000000004,"[130 427 394 471 286  30 142 375 248 487  97  26 158  55 349 193 236  62
 484 269]",0.8649499802833376,0.7784549822550039,0.8552570517327188,-2.4596127672123345,0.44175586757233576,-1.4651518215288184,0.8649499802833376
0,0.4,"[130 427 394 471  97 142 286 248 487 193 378 177  26  55 236 484 395 403
 269  95]",0.8683613536792704,0.7815252183113434,0.9084212959498501,-2.8065936070679247,0.4604790358184912,-1.3205876458608148,0.8683613536792704
0,0.5,"[130 427 394 471  97 193 487 248 286 142 378 177  26  55 484 236 395  89
  63 403]",0.8704545560679146,0.7834091004611231,0.9277853838981475,-3.107128425282303,0.46956898216194404,-1.0896715206920777,0.8704545560679146
0,0.6000000000000001,"[130 427 487 193  97 394 471 248 286 395  26 177 484 236 378  89 142  63
  55  50]",0.8629913097795999,0.77669217880164,0.9304005947776062,-3.1607329061742115,0.4647361297946837,-0.7060528056031204,0.8629913097795999
0,0.7000000000000001,"[130 427 487 193  97 394 471 248 395 484  26 177 236 286  89 378 142  63
 453  50]",0.865238133755389,0.7787143203798501,0.9399907117168718,-3.428434682642307,0.4802126704500567,-0.37053690659088145,0.865238133755389
0,0.8,"[130 484 193 427  97 395 471 248  89 394 487 177  26 236 401 215  30 453
  63 142]",0.8624854200353557,0.7762368780318201,0.9503544049623465,-4.173483397948652,0.49972024371697144,-0.07441315561985296,0.8624854200353557
0,0.9,"[130 484 427 193  97 395 487 471 394 248  89 401 236 177  26 453 215  30
  33  63]",0.8598828045091593,0.7738945240582434,0.9523323924214069,-4.386297976989028,0.5112340416204926,0.4184693554803635,0.8598828045091593
0,1.0,"[130 484 487 427 401 453 395 193  97 471  89 394 248  33 236 177  26  30
 215 142]",0.8573537442265212,0.7716183698038691,0.9524076236820921,-4.500609173241068,0.5065785738825566,0.9524076236820921,0.8573537442265212
1,0.0,"[374  88  39 132 436 288 273 366 271 409  69 103 381  68  11 230 272  89
 315  53]",0.831329515989439,0.7481965643904952,0.3600252572822587,-1.6105834054238035,0.399559869657819,-1.6105834054238035,0.831329515989439
1,0.1,"[374 428 273  27 160  36 202 403 377 415 315 276  49 243 488 366 232  11
 113  17]",0.8494799497415843,0.7645319547674259,0.6544255591655725,-1.7557081414889661,0.4061266885205477,-1.5146947714235124,0.8494799497415843
1,0.2,"[374 428 273  27  36 160 202 377 403  42 315 228  61 356 366 274 232 486
 138 433]",0.8576281719227372,0.7718653547304635,0.8258314344402995,-2.4925854053532728,0.4364906450081955,-1.8289020373945584,0.8576281719227372
1,0.30000000000000004,"[374 428  36  61 377 206 133 202 232  27 403  42 283 356 433 160 415 228
  49 246]",0.8647821266286109,0.7783039139657498,0.861532438316343,-2.653660374269136,0.4439091034401639,-1.5991025304934923,0.8647821266286109
1,0.4,"[374 428  36  61 377 273 202 133 248 293 423 228  27 163  49 266 356 314
 246 433]",0.8680715421206823,0.7812643879086141,0.9186819939914571,-3.10148175250574,0.4616037941285308,-1.4934162539068612,0.8680715421206823
1,0.5,"[374 428  36  61 377 228 133 202 246  27 163 293 423 248 376 273 266 436
  49 314]",0.8662361334173773,0.7796125200756395,0.9385527631581256,-3.433561007817847,0.4795965481656286,-1.2475041223298606,0.8662361334173773
1,0.6000000000000001,"[374 428  36  61 228 377 133 246  27 202 163 423 293 376 273 248 436 266
 138  42]",0.8630144952091485,0.7767130456882337,0.9493199079016135,-3.6738103513728384,0.4853301119620221,-0.8999321958081669,0.8630144952091485
1,0.7000000000000001,"[374 428  36 228  27 163 246 377  61 423 293 202 138 376 133 266 436 248
 273 404]",0.8623670194751937,0.7761303175276744,0.9524006760921113,-3.7842771630432015,0.48015054522760814,-0.46860267564848224,0.8623670194751937
1,0.8,"[374 428  36 228  27 163 246 423  61 376 293 138 202 377 436 273 133 248
 266 244]",0.8625645606506066,0.776308104585546,0.9558613235488955,-3.977083626256043,0.49164804705437465,-0.030727666412092014,0.8625645606506066
1,0.9,"[374  36 228 163 423 293  61 428 246 376  27 436 138 273 435 266 377 133
 244 475]",0.857665429662951,0.771898886696656,0.9601264270619548,-4.618210950056188,0.5115923979496306,0.4022926893501407,0.857665429662951
1,1.0,"[374 163 228  36 423 428 293 376 246  61  27 436 244 435 273 475 117 266
 138 377]",0.8580575543169602,0.7722517988852642,0.9608673102374364,-4.83286863597676,0.5136436831793084,0.9608673102374364,0.8580575543169602
2,0.0,"[423  32 158 293 456 393 210 379   2 315 497 370 120  98 188 476 403 255
 302   8]",0.835142039814618,0.7516278358331562,0.4243890523608925,-1.7133010121633194,0.39535085510548434,-1.7133010121633194,0.835142039814618
2,0.1,"[423 290  34 373 106 281 437 100 203  93 337 476 370 485 309 120 268  59
 403 105]",0.8442474014301097,0.7598226612870987,0.6107867663885611,-2.0328610756118013,0.41825632600312124,-1.7684962914117652,0.8442474014301097
2,0.2,"[423 285 142  41 327 281 478 176 333 304 290 110  30 418 440 128 310 403
 265 213]",0.8599792008076118,0.7739812807268507,0.8266266715012955,-2.3894889800678865,0.4294170389512282,-1.74626584975405,0.8599792008076118
2,0.30000000000000004,"[423 285 142  41 327 281 420 322 176  30 418 233 110 384 105 304 444 478
 213 497]",0.8666852232842797,0.7800167009558517,0.9179040609407559,-2.891025790772788,0.45178718497742465,-1.7483468352587246,0.8666852232842797
2,0.4,"[423 285 142  41 322 327 420 233  30 105 384 110 425 444 177 281 304 290
 213 497]",0.8676947710861357,0.7809252939775221,0.9309758435610455,-3.064907885853181,0.4660867999142552,-1.4665543940874903,0.8676947710861357
2,0.5,"[423 285 142  41 322 420 327 233 384 105  30 110 477 444 177 497 213 290
 304 281]",0.8691278771386496,0.7822150894247847,0.9381932069251435,-3.1536648810766783,0.4712275505033734,-1.1077358370757673,0.8691278771386496
2,0.6000000000000001,"[423 285 142  41 322 420 327 233 384 105  30 477 110 444 177 213 497 290
 304 440]",0.8693656149434518,0.7824290534491066,0.9398824631719037,-3.1863312408398987,0.4757664863447892,-0.7106030184328169,0.8693656149434518
2,0.7000000000000001,"[423 285 142  41 322 420 384 233 105 327 477 444 225 110 213  30 290 177
 440 317]",0.8669771243075015,0.7802794118767514,0.9543190665281491,-3.700236166698154,0.4817069190663458,-0.4420475034397414,0.8669771243075015
2,0.8,"[423 285 105 384  41 317 233 420 142 225 444 477 322  16 213 295 290 440
  34 110]",0.8659514547024325,0.7793563092321892,0.9616840112659965,-3.928373690629778,0.4984075689909264,-0.016327529113158268,0.8659514547024325
2,0.9,"[423 233 317 105  41 384 285 420 142  16 322 444 477 225 213 440 290  34
 295  47]",0.8648047087533215,0.7783242378779893,0.9635680483686307,-4.135092987906869,0.5094520018027027,0.45370194474108083,0.8648047087533215
2,1.0,"[423 317 233 285  16 105 384  41 322 420 142 444 477 225  34 440 290 213
  47  63]",0.8557213835237693,0.7701492451713924,0.963905582776114,-4.587093800067506,0.5188467985557071,0.963905582776114,0.8557213835237693
